PFT,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Crustaceans,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.244393575486346,,18.84291815182688,,0.9629422936415423,,5.0,1,0,0
Detritus,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.272103964838623,,14.938725666458103,,0.9662820441405999,,5.0,1,0,0
Crustaceans,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.226051404779742,,17.890581669003254,,0.8511565507622776,,5.0,1,0,0
Detritus,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.4586825192250743,,8.826986544110381,,0.9898743928740313,,5.0,0,0,0
Crustaceans,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.0075809116407,,16.26720160200241,,0.9714847795414554,,5.0,0,0,0
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.5626152277512013,,9.797098819284455,,0.9547815016563185,,6.0,0,0,0
Filter_feeder_gelatinous,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.8411173080545021,,4.160316096060371,,0.4284790145589552,,5.0,0,0,1
Crustaceans,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.617223398225321,,12.168825250818326,,0.9214509410915906,,5.0,0,0,0
Detritus,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.1106092943994055,,13.44500096589594,,0.9067659130534879,,5.0,1,0,0
Other_zooplankton,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.3751270502051165,,7.905055975349629,,0.699153290378475,,4.0,0,1,1
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.38881936493764,0.4844907761560484,10.655561397326458,4.668831583317707,0.8194818956132096,0.009168022698591745,6.0,0,0,0
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.38881936493764,0.4844907761560484,10.655561397326458,4.668831583317707,0.8194818956132096,0.009168022698591745,6.0,0,0,0
Detritus,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.6688269848229593,0.10007345764664612,10.39850044082181,0.6091836953070171,0.9615168554565724,0.006981413881572504,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.6582888173401535,,2.6126457504634915,,0.17177502639457842,,4.0,0,1,1
Other_zooplankton,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.5566667825027872,,1.9610436087533554,,0.9999648610926595,,3.0,0,1,0
Crustaceans,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.9123679943212477,,15.631793889482315,,0.9265524500044122,,7.0,0,0,0
Detritus,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.821441040071016,,11.471332817900194,,0.9998584734299062,,4.0,0,1,0
Crustaceans,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.6696568260694717,0.27894462535179115,13.4266438495291,2.717207472661763,0.9584392672405326,0.03496064866731335,5.0,0,0,0
Detritus,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.9665574311764868,0.44399994214345345,12.301526779286359,3.318065129333736,0.8830739288764173,0.08177174042192932,3.0,1,1,0
Crustaceans,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,-1.5737373340780054,0.4077151878037077,12.358076525824046,3.9090825924895034,0.8978370182783183,0.05701756221086246,4.0,0,1,0
Detritus,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,-1.400996955852401,0.2794832411276771,8.025627570149428,1.5840091564184822,0.9774213191337627,0.023464750709935648,3.0,0,1,0
Detritus,1.0,1997,04,Mediterranean Region,43.5,7.5,0.0,30.0,3,-1.400996955852401,0.2794832411276771,8.025627570149428,1.5840091564184822,0.9774213191337627,0.023464750709935648,3.0,0,1,0
Crustaceans,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-2.2977075543889063,0.7323546736795072,18.688867907867625,6.605232825750714,0.9641885854509733,0.03295376212568147,4.0,1,1,0
Detritus,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.5990736100378613,0.08087681034320036,9.986446412499472,0.09035114084942343,0.8954754732321693,0.12111392252204801,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6078455682099508,,10.623407190102897,,0.9203578434265952,,3.0,0,1,0
Crustaceans,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.6624036467075824,0.16089396581018536,13.100344636519365,1.7976567797154932,0.9410159416596673,0.014794118596409256,4.0,0,1,0
Crustaceans,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6624036467075824,0.16089396581018536,13.100344636519365,1.7976567797154932,0.9410159416596673,0.014794118596409256,4.0,0,1,0
Detritus,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-2.0862116027189352,0.010680571137330295,13.692651342602417,0.021443653417437293,0.9746908535764163,0.01622610011200075,4.0,1,1,0
Filter_feeder_gelatinous,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-0.48719951936886824,0.6809268470362484,0.8899610097296542,6.0229151483050405,0.5032953894402341,0.7024016968874066,3.0,0,1,1
Mollusca,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.30546067078064804,,-0.6333859879202084,,0.9974326751607719,,3.0,0,1,0
Other_zooplankton,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.3677514484422103,,-0.14028553295375623,,0.9365385135965265,,3.0,0,1,0
Crustaceans,1.0,1997,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5356685497843665,,12.040254999744436,,0.8535188142710083,,6.0,0,0,0
Detritus,1.0,1997,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.3625226244180624,,15.518403545221934,,0.988905578386272,,3.0,1,1,0
Carnivorous_gelatinous,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,2,-0.283060425308946,0.06945242625815022,-0.6004347600173824,0.7247164682815412,0.7368315797229822,0.16397303079408404,3.0,0,1,1
Crustaceans,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.478799906357394,0.2888041253023102,11.530098295804144,2.5607182293374287,0.9208540043530712,0.06455091764677458,5.0,0,0,0
Detritus,1.0,1997,09,Mediterranean Region,43.5,7.5,0.0,30.0,2,-2.081079373908021,0.34451653170059165,13.828186165953356,2.1698756743571797,0.990300955770842,0.0003476582070416999,3.0,1,1,0
Crustaceans,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,3,-1.3852391209304915,0.3302612122011095,10.53856146395252,3.0677380778659575,0.9423703771894094,0.02800530502965628,5.0,0,0,0
Detritus,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,3,-1.7465473969806455,0.27938099532446575,11.125493914714843,1.915078286403432,0.9794653795396148,0.02425766170010016,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1997,10,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.1965423295333704,0.07920055797133381,7.483852352309897,0.26874756306926034,0.9320590060072007,0.005972534488319434,4.0,0,1,0
Crustaceans,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,2,-0.9159354356962346,0.7465417658332179,6.002091232218857,6.725799011595673,0.6633246700493858,0.4460102195059867,5.0,0,0,1
Crustaceans,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,60.0,2,-0.9159354356962346,0.7465417658332179,6.002091232218857,6.725799011595673,0.6633246700493858,0.4460102195059867,5.0,0,0,1
Detritus,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.8864168418865055,0.17120833825144494,12.01244028556598,1.2551700345719183,0.9828166013671789,0.012967377161455082,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.3654968871174366,,-0.5406266021631745,,0.6398554834512733,,4.0,0,1,1
Mollusca,1.0,1997,11,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.4163536095184475,,0.09059871306448963,,0.4213738814205581,,3.0,0,1,1
Carnivorous_gelatinous,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.4369620809069851,,-0.5256933148799288,,0.1825770759532691,,3.0,0,1,1
Crustaceans,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.220281236949663,,8.82421410680286,,0.9523588582911244,,8.0,0,0,0
Detritus,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.3264809022801387,,14.928327973028495,,0.9708119937740519,,4.0,1,1,0
Filter_feeder_gelatinous,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.146587456729138,,6.40395811494661,,0.8065628764028543,,4.0,0,1,0
Other_zooplankton,1.0,1997,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.4162269380390514,,-0.35454573154697977,,0.7704651571942046,,3.0,0,1,1
Crustaceans,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.430776283401206,0.27392457700534795,10.513297924960877,2.4272962660929,0.9583165875008117,0.04642367885217221,5.0,0,0,0
Detritus,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.9170138424249246,0.3685358153132917,11.881870814472371,2.5883286276752377,0.9519040760245834,0.04696044230244714,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-0.2163896245671194,0.1546424195168583,-1.8491042547522518,1.1979942094751257,0.24154449136754774,0.2650078112256986,4.0,0,1,1
Filter_feeder_gelatinous,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-0.2163896245671194,0.1546424195168583,-1.8491042547522518,1.1979942094751257,0.24154449136754774,0.2650078112256986,4.0,0,1,1
Other_zooplankton,1.0,1998,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.31135863974146283,,-0.9078477052054144,,0.9225006151093943,,4.0,0,1,0
Crustaceans,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.3663373735194655,,10.356622552288275,,0.9763851869793119,,7.0,0,0,0
Detritus,1.0,1998,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.2937996518662853,,14.743296497227622,,0.933722370144916,,3.0,1,1,0
Crustaceans,1.0,1998,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4645435163270633,,11.735702387053468,,0.9692764355947633,,5.0,0,0,0
Detritus,1.0,1998,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.8195640187004005,,11.34835273270635,,0.9993268731789954,,3.0,0,1,0
Crustaceans,1.0,1998,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.2001298093319597,,17.82385041821758,,0.9747602029888058,,4.0,1,1,0
Detritus,1.0,1998,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.243376228330703,,14.617840297688675,,0.9756067689949989,,4.0,1,1,0
Crustaceans,1.0,1998,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7311112556305874,,13.571252475236742,,0.9711190210275227,,5.0,0,0,0
Detritus,1.0,1998,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6694454825579783,,10.581319451993512,,0.997464206935195,,3.0,0,1,0
Crustaceans,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.9165275102896624,,6.662555460477446,,0.9406132794456101,,4.0,0,1,0
Detritus,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.0492685596372238,,13.760646940561477,,0.9901285302836749,,4.0,1,1,0
Filter_feeder_gelatinous,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.7593637975226357,,4.132696254558919,,0.9668945225381532,,3.0,0,1,0
Mollusca,1.0,1998,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.0851875173003013,,-2.176062198333575,,0.04637242766201011,,3.0,0,1,1
Crustaceans,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.5609681405880147,,11.990281312309616,,0.9410411467992122,,6.0,0,0,0
Detritus,1.0,1998,08,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6300413411585255,,10.476782595066634,,0.9684925272243228,,4.0,0,1,0
Crustaceans,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.763744352650367,,13.242677273614566,,0.8671059771656725,,6.0,0,0,0
Detritus,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.239589105088684,,7.211091108407246,,0.9990252160602954,,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.010824274901702553,,-3.027594396097689,,0.0043088566421630725,,3.0,0,1,1
Other_zooplankton,1.0,1998,09,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.5341734051806806,,0.8713088767324244,,0.8363846015827361,,3.0,0,1,0
Crustaceans,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.615609393032321,,13.077223760464879,,0.9940024071941802,,4.0,0,1,0
Detritus,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6108291557552348,,10.483043854520927,,0.9865286353135124,,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.6481380773540387,,3.1424563415342144,,0.8734639353287083,,4.0,0,1,0
Mollusca,1.0,1998,10,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.6989184792705366,,3.036665004704319,,0.6111733596037834,,3.0,0,1,1
Crustaceans,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.0500223702113325,,6.333527418037724,,0.8801430807575632,,5.0,0,0,0
Detritus,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.1513464036164303,,5.7446242560892795,,0.9136578892038749,,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1999,01,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.5019336267443364,,0.3128304374535289,,0.6269721552083547,,3.0,0,1,1
Crustaceans,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.243555263894885,,9.355557880197335,,0.8202157505742408,,6.0,0,0,0
Detritus,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.3180714276188767,,7.722769048605078,,0.8872998321524617,,5.0,0,0,0
Filter_feeder_gelatinous,1.0,1999,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.26974065154852794,,-1.086435001749714,,0.9510388161154477,,3.0,0,1,0
Crustaceans,1.0,1999,03,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7304165414051016,,14.510850089399119,,0.9345955360844208,,5.0,0,0,0
Crustaceans,1.0,1999,04,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7505326024355778,,13.624578890724031,,0.9451703548815651,,4.0,0,1,0
Detritus,1.0,1999,04,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.829154179973579,,11.871311365801649,,0.9654190730495917,,4.0,0,1,0
Crustaceans,1.0,1999,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.029350024885307,,16.939089932780337,,0.9043665650973488,,6.0,0,0,0
Detritus,1.0,1999,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.309479441492829,,15.558127689470783,,0.9837776668730123,,4.0,1,1,0
Crustaceans,1.0,1999,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7795038259993872,,13.390951860953786,,0.9296374020226912,,5.0,0,0,0
Detritus,1.0,1999,06,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.202938749255164,,6.710549088102109,,0.830618211552035,,4.0,0,1,0
Crustaceans,1.0,1999,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.609687829223123,,12.479288029962927,,0.9440048850403818,,4.0,0,1,0
Detritus,1.0,1999,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.7663531522022842,,11.376165705385072,,0.9754786333015149,,4.0,0,1,0
Crustaceans,1.0,1999,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.648319212663285,,13.080320352047583,,0.9859311566798119,,4.0,0,1,0
Detritus,1.0,1999,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.7822250818980012,,11.769117911772213,,0.9985517339636019,,4.0,0,1,0
Crustaceans,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.0358589706964656,,16.362180709801134,,0.9661538021301573,,5.0,0,0,0
Detritus,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.0509574323482616,,13.326125148813288,,0.8241738424354377,,5.0,1,0,0
Filter_feeder_gelatinous,1.0,1999,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.1102387402492275,,15.303180348364045,,0.8786099850020926,,3.0,0,1,0
Crustaceans,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.830993553587304,,22.187858720666696,,0.853520497764599,,4.0,1,1,0
Detritus,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9461959884954504,,5.025299263826676,,0.8439073756303995,,4.0,0,1,0
Filter_feeder_gelatinous,1.0,1999,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.079312393192906,,13.722474227360246,,0.9978894827211525,,3.0,0,1,0
Crustaceans,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.4220527170047474,,10.189626328072126,,0.9448198006264257,,6.0,0,0,0
Detritus,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-2.0688538608116254,,13.509920062875665,,0.9398669860963867,,5.0,1,0,0
Other_zooplankton,1.0,1999,11,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.26599979203803076,,-1.3707278298594856,,0.37260457995088314,,3.0,0,1,1
Crustaceans,1.0,2000,02,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.6236105490253327,,4.629370452752287,,0.31976137045944697,,3.0,0,1,1
Crustaceans,1.0,2000,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-0.8000789144322936,,5.961557702363962,,0.7303733354344503,,4.0,0,1,1
Carnivorous_gelatinous,1.0,2000,08,Mediterranean Region,43.5,7.5,30.0,60.0,1,-0.24460554161680964,,-1.9540811396729802,,0.4093176869202789,,3.0,0,1,1
Crustaceans,1.0,2000,08,Mediterranean Region,43.5,7.5,30.0,60.0,2,-1.6363643748613443,0.11218276617907103,11.746944012502912,0.6835695649949926,0.960198833005951,0.007945919113769517,4.0,0,1,0
Crustaceans,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6363643748613443,0.11218276617907103,11.746944012502912,0.6835695649949926,0.960198833005951,0.007945919113769517,4.0,0,1,0
Detritus,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.6179132614554124,0.16279348447855985,10.052158123853996,0.9595805147604284,0.9705018819673403,0.03850356847428159,4.0,0,1,0
Detritus,1.0,2000,08,Mediterranean Region,43.5,7.5,30.0,60.0,2,-1.6179132614554124,0.16279348447855985,10.052158123853996,0.9595805147604284,0.9705018819673403,0.03850356847428159,4.0,0,1,0
Filter_feeder_gelatinous,1.0,2000,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.9828364644708886,,5.626204106033287,,0.9015067019447385,,4.0,0,1,0
Crustaceans,1.0,2000,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.4168341043497406,,19.800701626013733,,0.9911943578567497,,4.0,1,1,0
Detritus,1.0,2000,10,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.375890494848363,,15.851430406926461,,0.9614862833841585,,4.0,1,1,0
Crustaceans,1.0,2000,12,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.840349870397021,0.48731257436041475,13.9229461140325,4.26765594583351,0.913430356947601,0.07685546570055972,5.0,0,0,0
Detritus,1.0,2000,12,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.8338276587525406,0.0051033870458014365,11.508272198575003,0.023882852226933392,0.9171200830414141,0.06764469839731009,6.0,0,0,0
Filter_feeder_gelatinous,1.0,2000,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.8653213936684154,,12.879487457717428,,0.8569996089707917,,3.0,0,1,0
Actinopterygii,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,103.3661883,2,-0.904757692317211,1.0747446624134946,5.56500423131067,11.396445151978359,0.8303838984872396,0.08826928989203799,4.0,0,1,0
Actinopterygii,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,181.2615574,2,-0.904757692317211,1.0747446624134946,5.56500423131067,11.396445151978359,0.8303838984872396,0.08826928989203799,4.0,0,1,0
Carnivorous_gelatinous,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,103.3661883,2,-0.37224350679925433,0.030784955082166686,0.15119260113366573,0.5433770257835593,0.4059940892261063,0.08282187098949007,6.0,0,0,1
Carnivorous_gelatinous,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,181.2615574,2,-0.37224350679925433,0.030784955082166686,0.15119260113366573,0.5433770257835593,0.4059940892261063,0.08282187098949007,6.0,0,0,1
Crustaceans,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,181.2615574,2,-1.2877864397512881,0.29152239957657977,10.755611968565447,2.735652067508919,0.9026578120287696,0.07824845147527362,8.0,0,0,0
Crustaceans,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,103.3661883,2,-1.2877864397512881,0.29152239957657977,10.755611968565447,2.735652067508919,0.9026578120287696,0.07824845147527362,8.0,0,0,0
Detritus,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,103.3661883,2,-1.7503001079797849,0.05610690406185529,12.290586415969727,0.02090695040889216,0.8971588250484928,0.053791532913264946,6.0,0,0,0
Detritus,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,181.2615574,2,-1.7503001079797849,0.05610690406185529,12.290586415969727,0.02090695040889216,0.8971588250484928,0.053791532913264946,6.0,0,0,0
Filter_feeder_gelatinous,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,103.3661883,2,-3.087098878870166,1.4716662188012806,26.506264302397696,13.976244491883248,0.8934146276704487,0.13992216727144913,3.0,1,1,0
Mesophytoplankton,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,103.3661883,1,-0.6963307979706789,,1.6912256899399236,,0.8225632133670676,,3.0,0,1,0
Other_zooplankton,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,103.3661883,2,-1.1783283227982317,0.493306707796743,8.381430546126795,4.643387175886728,0.6747871156929857,0.031963143159156944,5.0,0,0,1
Other_zooplankton,1.0,2004,04,North Atlantic Ocean,43.5,-2.5,0.0,181.2615574,2,-1.1783283227982317,0.493306707796743,8.381430546126795,4.643387175886728,0.6747871156929857,0.031963143159156944,5.0,0,0,1
Carnivorous_gelatinous,1.0,2004,04,North Atlantic Ocean,43.5,-1.5,0.0,33.4834636,1,-3.1328625076488126,,29.234257009101857,,0.7966026921804833,,3.0,1,1,1
Crustaceans,1.0,2004,04,North Atlantic Ocean,43.5,-1.5,0.0,33.4834636,1,-1.369016067117812,,11.465923498219766,,0.8318129185057944,,9.0,0,0,0
Detritus,1.0,2004,04,North Atlantic Ocean,43.5,-1.5,0.0,33.4834636,1,-1.2323390653252762,,8.40246010632259,,0.8771709456092377,,8.0,0,0,0
Filter_feeder_gelatinous,1.0,2004,04,North Atlantic Ocean,43.5,-1.5,0.0,33.4834636,1,-2.0596266332009487,,17.50299371629565,,0.9087662560118273,,3.0,0,1,0
Mesophytoplankton,1.0,2004,04,North Atlantic Ocean,43.5,-1.5,0.0,33.4834636,1,-2.210278473134322,,14.396077161699104,,0.8193998612880244,,5.0,0,0,0
Other_zooplankton,1.0,2004,04,North Atlantic Ocean,43.5,-1.5,0.0,33.4834636,1,-0.6910853185739518,,4.126459429786715,,0.5946610807811743,,4.0,0,1,1
Carnivorous_gelatinous,1.0,2004,04,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-0.43876889351020276,,1.0685676589397248,,0.37462017643756895,,8.0,0,0,1
Crustaceans,1.0,2004,04,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-1.038213470815953,,8.581152851612744,,0.8694956126625139,,11.0,0,0,0
Detritus,1.0,2004,04,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-1.1812776979742594,,8.16547273694532,,0.921576304647407,,11.0,0,0,0
Filter_feeder_gelatinous,1.0,2004,04,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-3.0252367481619724,,25.603069330487507,,0.9755142790171031,,4.0,1,1,0
Mesophytoplankton,1.0,2004,04,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-1.0729520545683358,,5.385526253344718,,0.9373712570590875,,6.0,0,0,0
Mollusca,1.0,2004,04,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-0.6730793945539075,,3.063472357021312,,0.715420843281523,,4.0,0,1,1
Other_zooplankton,1.0,2004,04,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-0.6875732212226906,,3.8425158170802907,,0.7600039221082933,,7.0,0,0,1
Actinopterygii,1.0,2004,04,North Atlantic Ocean,44.5,-1.5,0.0,17.32050808,1,-1.001402042371529,,7.235902660296709,,0.5295616718828948,,6.0,0,0,1
Carnivorous_gelatinous,1.0,2004,04,North Atlantic Ocean,44.5,-1.5,0.0,17.32050808,1,-1.1703644129958906,,9.352406345909014,,0.8674487184440963,,6.0,0,0,0
Crustaceans,1.0,2004,04,North Atlantic Ocean,44.5,-1.5,0.0,17.32050808,1,-1.2463716239035132,,11.078406616250518,,0.9658909597479324,,13.0,0,0,0
Detritus,1.0,2004,04,North Atlantic Ocean,44.5,-1.5,0.0,17.32050808,1,-1.0949408726656247,,8.00038776187347,,0.9338225159408093,,12.0,0,0,0
Filter_feeder_gelatinous,1.0,2004,04,North Atlantic Ocean,44.5,-1.5,0.0,17.32050808,1,-1.8767152514318644,,15.395880183223808,,0.7933345889116433,,3.0,0,1,1
Mesophytoplankton,1.0,2004,04,North Atlantic Ocean,44.5,-1.5,0.0,17.32050808,1,-0.26365717399730476,,-0.6752782876849692,,0.01589478344543427,,4.0,0,1,1
Actinopterygii,1.0,2004,05,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-0.5467670273959115,,2.3743424491804923,,0.20931158454468823,,4.0,0,1,1
Carnivorous_gelatinous,1.0,2004,05,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,1,-0.44650566454748664,,1.3018856959319733,,0.38176945393837447,,7.0,0,0,1
Crustaceans,1.0,2004,05,North Atlantic Ocean,44.5,-2.5,0.0,103.4048141,2,-0.9416467602211684,0.027314264586969724,7.530264700040414,0.4724717894097621,0.8910427501449204,0.0006792758656378279,9.0,0,0,0
Crustaceans,1.0,2004,05,North Atlantic Ocean,44.5,-2.5,0.0,173.2050808,2,-0.9416467602211684,0.027314264586969724,7.530264700040414,0.4724717894097621,0.8910427501449204,0.0006792758656378279,9.0,0,0,0
